row,column,mean_row,mean_column,n_units,n_nonzero,wins,ties,losses,mean_delta_ari,median_delta_ari,rank_biserial,statistic,p_raw,p_holm
KMeans,AHC,0.23823683873530435,0.17827340199672287,20,20,17,0,3,0.05996343673858149,0.027235830633413949,0.68571428571428572,33,0.005580902099609375,0.027904510498046875
KMeans,GMM,0.23823683873530435,0.2387175912847658,20,20,8,0,12,-0.0004807525494614731,-0.0022223173578517497,-0.25714285714285712,78,0.32998275756835938,0.65996551513671875
KMeans,OPTICS,0.23823683873530435,0.19041562328257627,20,20,15,0,5,0.047821215452728119,0.019619483487188796,0.48571428571428571,54,0.058258056640625,0.174774169921875
AHC,GMM,0.17827340199672287,0.2387175912847658,20,20,2,0,18,-0.060444189288042981,-0.034897026831051739,-0.72380952380952379,29,0.0031528472900390625,0.018917083740234375
AHC,OPTICS,0.17827340199672287,0.19041562328257627,20,20,8,0,12,-0.012142221285853393,-0.004066113488766435,-0.16190476190476191,88,0.54587554931640625,0.65996551513671875
GMM,OPTICS,0.2387175912847658,0.19041562328257627,20,20,16,0,4,0.048301968002189596,0.038191241310670157,0.5714285714285714,45,0.023950576782226562,0.09580230712890625
