condition,scope,mean_delta,wins
Isomap__25_percent,real,0.040528251714729603,60
Isomap__25_percent,synthetic,0.18484553438402604,48.66952789699571
Isomap__50_percent,real,0.0230837566847353,50
Isomap__50_percent,synthetic,0.1811993027060298,49.527896995708154
Isomap__k_minus_1,real,0.027187736739080266,60
Isomap__k_minus_1,synthetic,0.21173897630232749,55.27896995708155
KernelPCA__25_percent,real,0.10702449108088249,70
KernelPCA__25_percent,synthetic,0.30352367420248039,66.78111587982832
KernelPCA__50_percent,real,0.11337114869970952,70
KernelPCA__50_percent,synthetic,0.30791111569827179,68.068669527897001
KernelPCA__k_minus_1,real,0.11396434981203137,80
KernelPCA__k_minus_1,synthetic,0.36316266625790306,75.278969957081543
MDS__25_percent,real,0.0050120438053280845,30
MDS__25_percent,synthetic,-0.00088569638545889576,31.931330472103003
MDS__50_percent,real,0.0075259858089634108,30
MDS__50_percent,synthetic,0.0018651777696877519,32.188841201716741
MDS__k_minus_1,real,0.017577649427056821,35
MDS__k_minus_1,synthetic,0.10167050208266602,52.961373390557945
PCA__25_percent,real,0.022664832930517763,30
PCA__25_percent,synthetic,0.0032979493900362113,32.789699570815451
PCA__50_percent,real,0.008760140466747366,20
PCA__50_percent,synthetic,0.0011218939232826267,31.587982832618028
PCA__k_minus_1,real,0.031226221869042226,50
PCA__k_minus_1,synthetic,0.19176433705466084,53.819742489270382
VAE__25_percent,real,0.046628286174087701,60
VAE__25_percent,synthetic,0.098449043308179732,44.291845493562235
VAE__50_percent,real,0.050618702658554296,70
VAE__50_percent,synthetic,0.078194107945424279,41.201716738197426
VAE__k_minus_1,real,0.049064320582311707,60
VAE__k_minus_1,synthetic,0.13893336613239554,48.068669527896994
