display_name,None__original,PCA__k_minus_1,PCA__25_percent,PCA__50_percent,KernelPCA__k_minus_1,KernelPCA__25_percent,KernelPCA__50_percent,VAE__k_minus_1,VAE__25_percent,VAE__50_percent,Isomap__k_minus_1,Isomap__25_percent,Isomap__50_percent,MDS__k_minus_1,MDS__25_percent,MDS__50_percent
Breast tissue,0.26895885389509744,0.27164007982951605,0.26381980903832414,0.27164007982951605,0.27547150303027979,0.33919689333223102,0.27547150303027979,0.26557507869180708,0.26952245480066078,0.26557507869180708,0.29782436040041721,0.29897772554979202,0.29782436040041721,0.26009312039843058,0.28761082870315602,0.26009312039843058
Breast Wisconsin,0.67072064768808004,0.65923055709495204,0.67072064768808004,0.67072064768808004,0.6548571506871651,0.64346408575839198,0.64918127654915603,0.71279050180997294,0.72812729004874566,0.69625705365628132,0.75279597489612537,0.7546546002381771,0.7546546002381771,0.68852370034557897,0.67650489563352301,0.67072064768808004
Ecoli,0.50230363987383631,0.5056550679748818,0.45870259774583921,0.48199874821265087,0.41639067716094635,0.43369611309595851,0.3633308064376416,0.4809225953090161,0.44644321873759923,0.48667517941615623,0.71593309775133296,0.4433916149294202,0.70806544417983586,0.50302489725690136,0.3664825569216304,0.52120531692053862
Glass,0.16931065209751472,0.16971107276279396,0.26574665045667395,0.16971107276279396,0.17699052873611301,0.17842685379157838,0.17699052873611301,0.18796620118135765,0.22677426591907116,0.18796620118135765,0.1409817608843851,0.13998703883813191,0.1409817608843851,0.16490311766824137,0.17106670262840667,0.16490311766824137
Haberman,-0.001101807536824,0.013008253841136902,-0.002666717776003,0.013008253841136902,-0.0068673646401030009,0.00078696905035200001,-0.0068673646401030009,0.053201833175443566,0.034908315320982417,0.053201833175443566,0.013823146405003001,-0.014190270366224,0.013823146405003001,0.0081723456452090001,-0.0024427422757433799,0.0081723456452090001
Ionosphere,0.16790201414259801,0.15843792605661991,0.16790201414259801,0.16790201414259801,0.207706418339832,0.21291302430026388,0.21291302430026388,0.14591734448074797,0.17159738129816166,0.16297999782371417,0.13582816363171291,0.136023144341268,0.136023144341268,0.11287118754871601,0.16790201414259801,0.16790201414259801
Iris,0.62013518088703701,0.62013518088703701,0.80154982443394984,0.62013518088703701,0.64100586217827005,0.55867376670350588,0.64100586217827005,0.67760222505989298,0.69366528891124979,0.67760222505989298,0.611689043485799,0.64120501618716996,0.611689043485799,0.61007285052855997,0.70210656350573697,0.61007285052855997
Movement libras,0.31552599946510551,0.31047957102241508,0.3169004948173032,0.31530749201910235,0.34119062773454567,0.33202384343645525,0.32579650081101896,0.29744559399715675,0.29281275452883115,0.30422951957259736,0.29660129813686914,0.29318600723204546,0.29695617489141923,0.31844645963902263,0.31603109881257668,0.31530749201910235
Musk,0.0042120815094550002,0.00054121665521000004,0.0042120815094550002,0.0042120815094550002,0.00078845154559100002,-0.00046954351822400006,-0.00046954351822400006,-0.00135436160752023,0.0049529285539262101,0.0046660634205001102,0.0065638557502389009,0.0065638557502389009,0.0065638557502389009,-0.0025380620572849001,0.0042120815094550002,0.0042120815094550002
Parkinsons,-0.097807739792948004,-0.097807739792948004,-0.097807739792948004,-0.097807739792948004,0.160777874077977,0.160777874077977,0.160777874077977,0.063307883426122563,0.077125337090518248,0.068821573748716447,0.094327354866099902,0.094327354866099902,0.094327354866099902,-0.0741777105479169,-0.091034926861110005,-0.097807739792948004
Segmentation,0.46113707977032359,0.45234628699407298,0.45324497240875966,0.46266724629440992,0.50775158633715889,0.46109629828693688,0.5142421866327318,0.46079309701619486,0.44961615916836539,0.43100266594898529,0.39192202797968601,0.39391746399416788,0.3822501802037514,0.46094958857240192,0.46492191208582839,0.46272939679298936
Sonar all,-0.0019244871310335001,-0.0024395267964240001,-0.002434024604744,-0.0017206721415493,0.018975152102520002,0.016100217242167002,0.016100217242167002,0.025459545880025351,0.006117335050786191,0.0061927753314740801,-0.0047267771787348999,-0.0039785762755669002,-0.0039785762755669002,-0.0039660987880170001,-0.002210505991533,-0.001414949657323
Spectf,-0.102604296141746,-0.102604296141746,-0.102604296141746,-0.102604296141746,-0.054019736384699001,-0.07927487568037872,-0.0819444179924569,-0.097035502410477842,-0.10306626485824096,-0.10536411572792848,-0.094188361130311898,-0.097094823987883896,-0.095833625957025798,-0.10518091736876101,-0.10341786266165201,-0.10341786266165201
Transfusion,0.052655895323733902,0.051051702453788109,0.049323405474051112,0.051051702453788109,0.013010661299532,0.0025741425006280002,0.013010661299532,0.030502894521124462,0.037113600740015081,0.030502894521124462,0.062270034062500902,0.067987177458842404,0.062270034062500902,0.031750411604749,0.019502747831923899,0.031750411604749
Vehicle,0.076124452080691005,0.0759302750031009,0.076067293788774304,0.075431727160149384,0.075478652673439006,0.074427090832161216,0.071724760158325102,0.07678324366933402,0.075942607436867288,0.075129048190697573,0.089494104063796001,0.096137666075279002,0.093592748732504505,0.080176744578249803,0.077335583731304905,0.075640676258451472
Vertebral column,0.21147240415054833,0.241002806364672,0.241002806364672,0.24795962867830501,0.25492693120434062,0.25492693120434062,0.23767565934249801,0.2453533144677349,0.2453533144677349,0.2462194854563223,0.24778416519004359,0.24778416519004359,0.25608210462012188,0.25444116621958168,0.25444116621958168,0.24921910175665901
