condition,scope,mean_delta,wins
Isomap__25_percent,real,0.06443107727715966,45
Isomap__25_percent,synthetic,0.15524615001763062,44.377682403433475
Isomap__50_percent,real,0.095397741095861258,55.000000000000007
Isomap__50_percent,synthetic,0.12145932149680579,38.969957081545061
Isomap__k_minus_1,real,0.120996775537487,60
Isomap__k_minus_1,synthetic,0.2343601418180544,49.699570815450642
KernelPCA__25_percent,real,0.10707141758097057,70
KernelPCA__25_percent,synthetic,0.19506105209783592,44.377682403433475
KernelPCA__50_percent,real,0.10417540006166548,55.000000000000007
KernelPCA__50_percent,synthetic,0.15264884798027659,34.849785407725321
KernelPCA__k_minus_1,real,0.15274235772516692,75
KernelPCA__k_minus_1,synthetic,0.26593454735408006,53.819742489270382
MDS__25_percent,real,0.10607727491289524,45
MDS__25_percent,synthetic,-0.010789137874531649,6.9527896995708165
MDS__50_percent,real,0.028162580191614016,25
MDS__50_percent,synthetic,-0.004496023014075555,6.0944206008583688
MDS__k_minus_1,real,0.094526466645892218,35
MDS__k_minus_1,synthetic,0.14174204225461329,34.163090128755364
PCA__25_percent,real,0.095795081443495411,40
PCA__25_percent,synthetic,-0.0048183942819349538,7.6394849785407724
PCA__50_percent,real,0.09687631080170972,35
PCA__50_percent,synthetic,-0.0081427013014437732,5.836909871244635
PCA__k_minus_1,real,0.10655513663866718,55.000000000000007
PCA__k_minus_1,synthetic,0.09409173543932893,30.987124463519311
VAE__25_percent,real,0.093363461506039955,70
VAE__25_percent,synthetic,0.18968681739950954,40.429184549356222
VAE__50_percent,real,0.08647274716632794,45
VAE__50_percent,synthetic,0.18109690158277608,40
VAE__k_minus_1,real,0.14275789789095797,70
VAE__k_minus_1,synthetic,0.20477836070437108,43.433476394849784
