condition,scope,mean_delta,wins
Isomap__25_percent,real,0.0049108010200573969,55.000000000000007
Isomap__25_percent,synthetic,0.00019368675007274552,47.811158798283259
Isomap__50_percent,real,0.019008383968249089,60
Isomap__50_percent,synthetic,0.0081592201245079925,50.386266094420598
Isomap__k_minus_1,real,0.020842787738865047,65
Isomap__k_minus_1,synthetic,0.010419719960913272,52.188841201716741
KernelPCA__25_percent,real,0.0084317299550899782,50
KernelPCA__25_percent,synthetic,0.14445981614728198,67.896995708154506
KernelPCA__50_percent,real,0.013391933474250365,60
KernelPCA__50_percent,synthetic,0.16683883039476335,73.476394849785407
KernelPCA__k_minus_1,real,0.019525975027628178,60
KernelPCA__k_minus_1,synthetic,0.15138723042007896,69.785407725321889
MDS__25_percent,real,-0.00350719959139848,50
MDS__25_percent,synthetic,-0.033680038762620705,20.600858369098713
MDS__50_percent,real,0.0017228962299794786,35
MDS__50_percent,synthetic,-0.011432881315943241,20.429184549356222
MDS__k_minus_1,real,-0.0032210198309288425,35
MDS__k_minus_1,synthetic,-0.10066400219849291,28.841201716738198
PCA__25_percent,real,0.0056467868865782761,20
PCA__25_percent,synthetic,-0.026315880261788455,19.742489270386265
PCA__50_percent,real,-0.00062967807048724023,35
PCA__50_percent,synthetic,-0.010668139333800461,18.197424892703861
PCA__k_minus_1,real,-0.00022902121603701891,25
PCA__k_minus_1,synthetic,-0.022858336371595751,26.180257510729614
VAE__25_percent,real,0.014355300734473006,55.000000000000007
VAE__25_percent,synthetic,0.0091756871310151502,49.098712446351932
VAE__50_percent,real,0.011696394526304107,50
VAE__50_percent,synthetic,0.011362820330123395,48.927038626609445
VAE__k_minus_1,real,0.011783603349406847,50
VAE__k_minus_1,synthetic,-0.0065542657606428127,47.639484978540771
