clusterer,condition,mean,std,count
AHC,Isomap__25_percent,0.80325728159351539,0.21491851454155397,300
AHC,Isomap__50_percent,0.79563560189631588,0.21389799188902753,300
AHC,Isomap__k_minus_1,0.80823334542896097,0.1941913901996993,300
AHC,KernelPCA__25_percent,0.59969204510893603,0.22538654513831613,300
AHC,KernelPCA__50_percent,0.59009599733421259,0.24050982195125628,300
AHC,KernelPCA__k_minus_1,0.61666167178441134,0.21263455876833803,300
AHC,MDS__25_percent,0.58130487108655426,0.22656989077037837,300
AHC,MDS__50_percent,0.5861590091176232,0.22945177258755556,300
AHC,MDS__k_minus_1,0.56868988622712435,0.22822946956453188,300
AHC,None__original,0.58501488229146414,0.23426786616352316,300
AHC,PCA__25_percent,0.58150059328793346,0.22913946187929182,300
AHC,PCA__50_percent,0.58469654371854507,0.22498066012358917,300
AHC,PCA__k_minus_1,0.58397018798736544,0.22432697182029188,300
AHC,VAE__25_percent,0.5903907156455116,0.20945903037820324,300
AHC,VAE__50_percent,0.59323266133762853,0.20031874249102372,300
AHC,VAE__k_minus_1,0.59540792176231117,0.18973572133043168,300
GMM,Isomap__25_percent,0.77177739935914202,0.2292527865071271,300
GMM,Isomap__50_percent,0.79119304576823135,0.20155162191841383,300
GMM,Isomap__k_minus_1,0.87591739129577151,0.11749650702524772,300
GMM,KernelPCA__25_percent,0.64350032594115092,0.20832214992860629,300
GMM,KernelPCA__50_percent,0.59981639246673391,0.17903484289076044,300
GMM,KernelPCA__k_minus_1,0.56621403704600237,0.23649962997027985,300
GMM,MDS__25_percent,0.51118687975639931,0.15913902352020967,300
GMM,MDS__50_percent,0.49217123682959635,0.17375583819599671,300
GMM,MDS__k_minus_1,0.57300536055387841,0.12260978646526917,300
GMM,None__original,0.62687364473894047,0.14348794020751227,300
GMM,PCA__25_percent,0.51055595391129727,0.15759582132426408,300
GMM,PCA__50_percent,0.49073882511809197,0.17238194781932828,300
GMM,PCA__k_minus_1,0.58426913419184801,0.11351712364321041,300
GMM,VAE__25_percent,0.57884917629188937,0.14530170002598089,300
GMM,VAE__50_percent,0.56535061875886006,0.13255995986479172,300
GMM,VAE__k_minus_1,0.58519353391875439,0.15173677177936004,300
KMeans,Isomap__25_percent,0.7251040638978149,0.19594242812035267,300
KMeans,Isomap__50_percent,0.72535055504676704,0.1965572724994479,300
KMeans,Isomap__k_minus_1,0.74182155012589401,0.17629716127481843,300
KMeans,KernelPCA__25_percent,0.60374667255181425,0.19715183747014509,300
KMeans,KernelPCA__50_percent,0.60998106424424769,0.19790985282089843,300
KMeans,KernelPCA__k_minus_1,0.603356707806463,0.20321613090482124,300
KMeans,MDS__25_percent,0.54344813677690551,0.26050912432087497,300
KMeans,MDS__50_percent,0.54175370288945579,0.25877917314735144,300
KMeans,MDS__k_minus_1,0.53744382331827156,0.26910624372173969,300
KMeans,None__original,0.5407014723098037,0.25795406824585887,300
KMeans,PCA__25_percent,0.53947061940217811,0.25767661487803906,300
KMeans,PCA__50_percent,0.54048876544803615,0.25777503614363545,300
KMeans,PCA__k_minus_1,0.54054210078401022,0.25779536053704832,300
KMeans,VAE__25_percent,0.57708466286522342,0.20788778736511176,300
KMeans,VAE__50_percent,0.57302273007344351,0.21292337601342104,300
KMeans,VAE__k_minus_1,0.5721743443258267,0.20019094446812305,300
OPTICS,Isomap__25_percent,0.5202094309887122,0.37304878340348352,300
OPTICS,Isomap__50_percent,0.46001130250740452,0.39370893270419066,300
OPTICS,Isomap__k_minus_1,0.71800967448845721,0.33500512707743757,300
OPTICS,KernelPCA__25_percent,0.50426582018101096,0.40082332062552017,300
OPTICS,KernelPCA__50_percent,0.44384895827929899,0.43685177375259415,300
OPTICS,KernelPCA__k_minus_1,0.43306186323800927,0.39127829625824828,300
OPTICS,MDS__25_percent,0.17733399866624444,0.38181941288790089,300
OPTICS,MDS__50_percent,0.17666666666666667,0.38202359741972386,300
OPTICS,MDS__k_minus_1,0.50004377498082819,0.41420512228990564,300
OPTICS,None__original,0.16333333333333333,0.37028718253185627,300
OPTICS,PCA__25_percent,0.20985326904237983,0.40229246983446487,300
OPTICS,PCA__50_percent,0.17333333333333334,0.37916766204679025,300
OPTICS,PCA__k_minus_1,0.52197954702742688,0.41124450342292812,300
OPTICS,VAE__25_percent,0.7059263275875457,0.35444668447819028,300
OPTICS,VAE__50_percent,0.70189276815131152,0.34651365274760365,300
OPTICS,VAE__k_minus_1,0.70966511021831535,0.34107976185373862,300
