dataset_id,display_name,scope,family,n_clusters,n_features,n_samples,clusterer,reducer,reduction_level,ari,seeds,condition,baseline,delta_ari
breast_tissue,Breast tissue,real,real,6,9,106,KMeans,KernelPCA,25_percent,0.33919689333223102,10,KernelPCA__25_percent,0.26895885389509744,0.070238039437133581
breast_tissue,Breast tissue,real,real,6,9,106,KMeans,KernelPCA,50_percent,0.27547150303027979,10,KernelPCA__50_percent,0.26895885389509744,0.0065126491351823468
breast_tissue,Breast tissue,real,real,6,9,106,KMeans,KernelPCA,k_minus_1,0.27547150303027979,10,KernelPCA__k_minus_1,0.26895885389509744,0.0065126491351823468
breast_tissue,Breast tissue,real,real,6,9,106,KMeans,MDS,25_percent,0.28761082870315602,10,MDS__25_percent,0.26895885389509744,0.01865197480805858
breast_tissue,Breast tissue,real,real,6,9,106,KMeans,MDS,50_percent,0.26009312039843058,10,MDS__50_percent,0.26895885389509744,-0.0088657334966668611
breast_tissue,Breast tissue,real,real,6,9,106,KMeans,MDS,k_minus_1,0.26009312039843058,10,MDS__k_minus_1,0.26895885389509744,-0.0088657334966668611
breast_tissue,Breast tissue,real,real,6,9,106,KMeans,None,original,0.26895885389509744,10,None__original,0.26895885389509744,0
breast_tissue,Breast tissue,real,real,6,9,106,KMeans,PCA,25_percent,0.26381980903832414,10,PCA__25_percent,0.26895885389509744,-0.0051390448567733005
breast_tissue,Breast tissue,real,real,6,9,106,KMeans,PCA,50_percent,0.27164007982951605,10,PCA__50_percent,0.26895885389509744,0.0026812259344186073
breast_tissue,Breast tissue,real,real,6,9,106,KMeans,PCA,k_minus_1,0.27164007982951605,10,PCA__k_minus_1,0.26895885389509744,0.0026812259344186073
breast_tissue,Breast tissue,real,real,6,9,106,KMeans,VAE,25_percent,0.26952245480066078,10,VAE__25_percent,0.26895885389509744,0.00056360090556334397
breast_tissue,Breast tissue,real,real,6,9,106,KMeans,VAE,50_percent,0.26557507869180708,10,VAE__50_percent,0.26895885389509744,-0.0033837752032903623
breast_tissue,Breast tissue,real,real,6,9,106,KMeans,VAE,k_minus_1,0.26557507869180708,10,VAE__k_minus_1,0.26895885389509744,-0.0033837752032903623
breast_tissue,Breast tissue,real,real,6,9,106,OPTICS,Isomap,25_percent,0.377522780965237,10,Isomap__25_percent,0.33220177842402487,0.04532100254121213
breast_tissue,Breast tissue,real,real,6,9,106,OPTICS,Isomap,50_percent,0.38021342819030601,10,Isomap__50_percent,0.33220177842402487,0.048011649766281139
breast_tissue,Breast tissue,real,real,6,9,106,OPTICS,Isomap,k_minus_1,0.38021342819030601,10,Isomap__k_minus_1,0.33220177842402487,0.048011649766281139
breast_tissue,Breast tissue,real,real,6,9,106,OPTICS,KernelPCA,25_percent,0.36563271579704593,10,KernelPCA__25_percent,0.33220177842402487,0.033430937373021052
breast_tissue,Breast tissue,real,real,6,9,106,OPTICS,KernelPCA,50_percent,0.28590180448660402,10,KernelPCA__50_percent,0.33220177842402487,-0.046299973937420857
breast_tissue,Breast tissue,real,real,6,9,106,OPTICS,KernelPCA,k_minus_1,0.28590180448660402,10,KernelPCA__k_minus_1,0.33220177842402487,-0.046299973937420857
breast_tissue,Breast tissue,real,real,6,9,106,OPTICS,MDS,25_percent,0.313279554392702,10,MDS__25_percent,0.33220177842402487,-0.018922224031322876
breast_tissue,Breast tissue,real,real,6,9,106,OPTICS,MDS,50_percent,0.33029783408527102,10,MDS__50_percent,0.33220177842402487,-0.0019039443387538491
breast_tissue,Breast tissue,real,real,6,9,106,OPTICS,MDS,k_minus_1,0.33029783408527102,10,MDS__k_minus_1,0.33220177842402487,-0.0019039443387538491
breast_tissue,Breast tissue,real,real,6,9,106,OPTICS,None,original,0.33220177842402487,10,None__original,0.33220177842402487,0
breast_tissue,Breast tissue,real,real,6,9,106,OPTICS,PCA,25_percent,0.23440780460294991,10,PCA__25_percent,0.33220177842402487,-0.097793973821074964
breast_tissue,Breast tissue,real,real,6,9,106,OPTICS,PCA,50_percent,0.328644930373021,10,PCA__50_percent,0.33220177842402487,-0.0035568480510038691
breast_tissue,Breast tissue,real,real,6,9,106,OPTICS,PCA,k_minus_1,0.328644930373021,10,PCA__k_minus_1,0.33220177842402487,-0.0035568480510038691
breast_tissue,Breast tissue,real,real,6,9,106,OPTICS,VAE,25_percent,0.33276243881754736,10,VAE__25_percent,0.33220177842402487,0.00056066039352248298
breast_tissue,Breast tissue,real,real,6,9,106,OPTICS,VAE,50_percent,0.32098831708548203,10,VAE__50_percent,0.33220177842402487,-0.011213461338542841
breast_tissue,Breast tissue,real,real,6,9,106,OPTICS,VAE,k_minus_1,0.32098831708548203,10,VAE__k_minus_1,0.33220177842402487,-0.011213461338542841
