clusterer,condition,mean,std,count
AHC,Isomap__25_percent,0.74667349644422032,0.31983143342706288,265
AHC,Isomap__50_percent,0.77676527848193377,0.31128455805965288,265
AHC,Isomap__k_minus_1,0.83975558449813958,0.25383816890311917,265
AHC,KernelPCA__25_percent,0.55229156921936984,0.33705870924568904,265
AHC,KernelPCA__50_percent,0.60751401376694347,0.32298439756266478,265
AHC,KernelPCA__k_minus_1,0.67442993782826532,0.23198557386749002,265
AHC,MDS__25_percent,0.43822127380156095,0.37728842113591754,265
AHC,MDS__50_percent,0.47702013849285752,0.39591539747767063,265
AHC,MDS__k_minus_1,0.64120845645055824,0.35165129289346836,265
AHC,None__original,0.52300763308765752,0.41929281006432051,265
AHC,PCA__25_percent,0.39144586042096979,0.3740515222795599,265
AHC,PCA__50_percent,0.45918745664896399,0.38888521727127467,265
AHC,PCA__k_minus_1,0.54792265373013394,0.36396083749035602,265
AHC,VAE__25_percent,0.43552202945083168,0.33628823139402908,265
AHC,VAE__50_percent,0.46454903010047277,0.3525838109126766,265
AHC,VAE__k_minus_1,0.496413918938579,0.31956391609474688,265
GMM,Isomap__25_percent,0.789920187937865,0.26095291887203981,265
GMM,Isomap__50_percent,0.82471871201079638,0.22142529377311346,265
GMM,Isomap__k_minus_1,0.77772481174830255,0.30478129285284195,265
GMM,KernelPCA__25_percent,0.72160155566528639,0.31726161033826622,265
GMM,KernelPCA__50_percent,0.76237731305379186,0.270235552019576,265
GMM,KernelPCA__k_minus_1,0.81028238535508768,0.27170277285806282,265
GMM,MDS__25_percent,0.71172426427236979,0.30749109166111194,265
GMM,MDS__50_percent,0.807429512863578,0.21522996655613,265
GMM,MDS__k_minus_1,0.73081474874061569,0.32959907321513349,265
GMM,None__original,0.80988331737497177,0.2596451388691986,265
GMM,PCA__25_percent,0.72994872552425505,0.31045148650350884,265
GMM,PCA__50_percent,0.84665994093163477,0.22050210578433288,265
GMM,PCA__k_minus_1,0.72905829672198563,0.30980242223731769,265
GMM,VAE__25_percent,0.61588978103725966,0.3209004779511801,265
GMM,VAE__50_percent,0.69528056030580188,0.30367928168111152,265
GMM,VAE__k_minus_1,0.56922477880368716,0.30611224407748799,265
KMeans,Isomap__25_percent,0.80414277309760329,0.25195307964604075,265
KMeans,Isomap__50_percent,0.83198226034876721,0.23027655041800821,265
KMeans,Isomap__k_minus_1,0.84793374697756718,0.22686483859529705,265
KMeans,KernelPCA__25_percent,0.62661345494995224,0.2828127720205264,265
KMeans,KernelPCA__50_percent,0.67083377486448026,0.24850245126770118,265
KMeans,KernelPCA__k_minus_1,0.65752461785219973,0.22041808892234818,265
KMeans,MDS__25_percent,0.55836868836177433,0.28031195358916056,265
KMeans,MDS__50_percent,0.59263018644674115,0.25285905866653496,265
KMeans,MDS__k_minus_1,0.62912574329464865,0.24557807318870906,265
KMeans,None__original,0.62522288499519973,0.23995781250457246,265
KMeans,PCA__25_percent,0.52654558631814441,0.28447439019470455,265
KMeans,PCA__50_percent,0.57948169735642641,0.26087303122294181,265
KMeans,PCA__k_minus_1,0.52856600043732527,0.24942931237233418,265
KMeans,VAE__25_percent,0.58301158078940518,0.30484287560626527,265
KMeans,VAE__50_percent,0.61676112300596531,0.30912026687549882,265
KMeans,VAE__k_minus_1,0.55344075243350144,0.27970564830904499,265
OPTICS,Isomap__25_percent,0.35899215592252592,0.43238769439732816,265
OPTICS,Isomap__50_percent,0.31780759858968005,0.41226629761609196,265
OPTICS,Isomap__k_minus_1,0.43524765395141202,0.45840484999761716,265
OPTICS,KernelPCA__25_percent,0.19843009393531119,0.3244324372337119,265
OPTICS,KernelPCA__50_percent,0.22489401804244899,0.35125602553172725,265
OPTICS,KernelPCA__k_minus_1,0.23058724775960465,0.33454335726383777,265
OPTICS,MDS__25_percent,0.2635541608912948,0.37106451975954302,265
OPTICS,MDS__50_percent,0.28534724921146765,0.3861969261899591,265
OPTICS,MDS__k_minus_1,0.19951738039461689,0.29354491581434494,265
OPTICS,None__original,0.29849219297965462,0.39282120484428423,265
OPTICS,PCA__25_percent,0.24655849664161983,0.3647769992941638,265
OPTICS,PCA__50_percent,0.27709498137145933,0.38052951582727917,265
OPTICS,PCA__k_minus_1,0.11698025531797256,0.19969485780711699,265
OPTICS,VAE__25_percent,0.26911105112552564,0.37924757710782764,265
OPTICS,VAE__50_percent,0.27155725087314359,0.38746590800445407,265
OPTICS,VAE__k_minus_1,0.22369020775657136,0.32663904651961179,265
