clusterer,condition,mean,std,count
AHC,Isomap__25_percent,0.38902730090108695,0.41970859946089023,300
AHC,Isomap__50_percent,0.37440381090654529,0.4282616864279355,300
AHC,Isomap__k_minus_1,0.4262701340804842,0.4126985883565385,300
AHC,KernelPCA__25_percent,0.88199676616068245,0.22568972509529228,300
AHC,KernelPCA__50_percent,0.85618003916577534,0.25674516189766805,300
AHC,KernelPCA__k_minus_1,0.98291850869851771,0.020004451774721793,300
AHC,MDS__25_percent,0.24370321567093431,0.39109961762508316,300
AHC,MDS__50_percent,0.20837134606744079,0.38722234149903639,300
AHC,MDS__k_minus_1,0.47156208857475701,0.37037492861600302,300
AHC,None__original,0.16230778146587982,0.35612679849742063,300
AHC,PCA__25_percent,0.29851699177087404,0.41798977690179157,300
AHC,PCA__50_percent,0.22051449636129267,0.39463943361686732,300
AHC,PCA__k_minus_1,0.88861659875368992,0.20816986551984359,300
AHC,VAE__25_percent,0.60665489332763667,0.45146472815857408,300
AHC,VAE__50_percent,0.50595672282411752,0.47198463548654013,300
AHC,VAE__k_minus_1,0.71748907104051696,0.40323306492875854,300
GMM,Isomap__25_percent,0.51383407751797638,0.37119511434337832,300
GMM,Isomap__50_percent,0.58270613946747141,0.3395966044934095,300
GMM,Isomap__k_minus_1,0.46922410274859783,0.42694500768791949,300
GMM,KernelPCA__25_percent,0.97447048317067164,0.0429861115667831,300
GMM,KernelPCA__50_percent,0.98083831676624378,0.029861483294580847,300
GMM,KernelPCA__k_minus_1,0.98669714462350577,0.015460638575315239,300
GMM,MDS__25_percent,0.97968777518435213,0.028298680862454934,300
GMM,MDS__50_percent,0.97807432330458632,0.049988630519785242,300
GMM,MDS__k_minus_1,0.62555467956311772,0.38851439370707502,300
GMM,None__original,0.97390389774559438,0.066804559557596357,300
GMM,PCA__25_percent,0.96912231155472961,0.044139644449784972,300
GMM,PCA__50_percent,0.97762096554366962,0.041912691226796459,300
GMM,PCA__k_minus_1,0.96829394966145765,0.019051816945909683,300
GMM,VAE__25_percent,0.9643785386840813,0.035522007734050863,300
GMM,VAE__50_percent,0.96624095811389832,0.029114163409162667,300
GMM,VAE__k_minus_1,0.96209955926395996,0.018008050289807238,300
KMeans,Isomap__25_percent,0.42802411386016465,0.39860950534149459,300
KMeans,Isomap__50_percent,0.43117924002883634,0.40332503616585047,300
KMeans,Isomap__k_minus_1,0.4328103954192154,0.40121972391943445,300
KMeans,KernelPCA__25_percent,0.97771203048906274,0.038201325057586333,300
KMeans,KernelPCA__50_percent,0.98638582787344153,0.015513605572767729,300
KMeans,KernelPCA__k_minus_1,0.98588809047434056,0.016151569645031089,300
KMeans,MDS__25_percent,0.83958055773602402,0.12326469097136582,300
KMeans,MDS__50_percent,0.89652870567814713,0.071754548063514292,300
KMeans,MDS__k_minus_1,0.52202248192008771,0.32017962860963384,300
KMeans,None__original,0.91230920511320412,0.059507261750287553,300
KMeans,PCA__25_percent,0.89934820822775918,0.060965339178487253,300
KMeans,PCA__50_percent,0.9115042809614039,0.055474065074688578,300
KMeans,PCA__k_minus_1,0.90910049184014918,0.05522102759157612,300
KMeans,VAE__25_percent,0.92624949694280756,0.043570772748508811,300
KMeans,VAE__50_percent,0.92966782485122734,0.04192585229844828,300
KMeans,VAE__k_minus_1,0.91631629581478913,0.05470205288753436,300
OPTICS,Isomap__25_percent,0.083491403723745541,0.21011254317104527,300
OPTICS,Isomap__50_percent,0.046455006237452259,0.14079276728418713,300
OPTICS,Isomap__k_minus_1,0.14276889878815824,0.28941952631865442,300
OPTICS,KernelPCA__25_percent,0.37960357127373362,0.43955697478122424,300
OPTICS,KernelPCA__50_percent,0.23833622296485998,0.39521013526653831,300
OPTICS,KernelPCA__k_minus_1,0.6882431500890771,0.37174251969882299,300
OPTICS,MDS__25_percent,0.010151229085999015,0.051426490814200122,300
OPTICS,MDS__50_percent,0.0025014317148662397,0.019391276114203642,300
OPTICS,MDS__k_minus_1,0.2795754180573628,0.42242171172536241,300
OPTICS,None__original,0.0016727991360731961,0.016715014734820698,300
OPTICS,PCA__25_percent,0.0037852394340575951,0.03183885997800083,300
OPTICS,PCA__50_percent,0.0044123076554820591,0.026925047522045057,300
OPTICS,PCA__k_minus_1,0.10256312368948402,0.25309221036862112,300
OPTICS,VAE__25_percent,0.12562007802595618,0.21878317544583506,300
OPTICS,VAE__50_percent,0.10137165782860237,0.18957719909867757,300
OPTICS,VAE__k_minus_1,0.22392426544194496,0.32584965640336017,300
