clusterer,condition,reducer,reduction_level,mean_ari,baseline_ari,n_units,n_nonzero,wins,ties,losses,mean_delta_ari,median_delta_ari,rank_biserial,statistic,p_raw,p_holm_60,p_holm_15
KMeans,PCA__k_minus_1,PCA,k_minus_1,0.53218036135761426,0.58995289421894159,45,45,14,0,31,-0.057772532861327185,-0.0039619703599133027,-0.54202898550724643,237,0.0011777829134871354,0.064778060241792446,0.017666743702307031
KMeans,PCA__25_percent,PCA,25_percent,0.52860088759831558,0.58995289421894159,45,36,11,9,25,-0.061352006620625753,-0.00015356646483288827,-0.64264264264264259,218,0.0016840603538362648,0.090939259107158305,0.023576844953707706
KMeans,PCA__50_percent,PCA,50_percent,0.56229101009856797,0.58995289421894159,45,34,13,11,21,-0.027661884120373424,0,-0.56974789915966384,271,0.015117554037886075,0.66517237766698734,0.13605798634097466
KMeans,KernelPCA__k_minus_1,KernelPCA,k_minus_1,0.68444064515169367,0.58995289421894159,45,45,29,0,16,0.094487750932752287,0.03980251294315762,0.34685990338164252,338,0.042553280442234609,1,0.25531968265340765
KMeans,KernelPCA__25_percent,KernelPCA,25_percent,0.66553577293923116,0.58995289421894159,45,45,28,0,17,0.075582878720289695,0.036304608563404561,0.24057971014492754,393,0.16310509151998076,1,0.573710771127935
KMeans,KernelPCA__50_percent,KernelPCA,50_percent,0.69832075790851378,0.58995289421894159,45,45,30,0,15,0.1083678636895722,0.03521039248688651,0.3719806763285024,325,0.029249856040564737,1,0.22182723981864239
KMeans,VAE__k_minus_1,VAE,k_minus_1,0.55218816565345208,0.58995289421894159,45,45,19,0,26,-0.037764728565489368,-0.013134364991410241,-0.25217391304347825,387,0.14342769278198375,1,0.573710771127935
KMeans,VAE__25_percent,VAE,25_percent,0.57452906250687219,0.58995289421894159,45,45,21,0,24,-0.015423831712069196,-0.010502560786690096,-0.097584541062801927,467,0.57592560732894071,1,1
KMeans,VAE__50_percent,VAE,50_percent,0.59144693785141567,0.58995289421894159,45,45,22,0,23,0.0014940436324742943,-0.0027803458810350401,-0.0086956521739130436,513,0.96434488073049351,1,1
KMeans,Isomap__k_minus_1,Isomap,k_minus_1,0.70301785408229867,0.58995289421894159,45,44,29,1,15,0.11306495986335721,0.13084966473078791,0.47070707070707068,277,0.0067475041423692827,0.33737520711846414,0.08771755385080067
KMeans,Isomap__25_percent,Isomap,25_percent,0.6766791113255779,0.58995289421894159,45,44,28,1,16,0.086726217106636305,0.085078664501393897,0.38181818181818183,322,0.027728404977330298,1,0.22182723981864239
KMeans,Isomap__50_percent,Isomap,50_percent,0.69424333862559207,0.58995289421894159,45,44,29,1,15,0.10429044440665063,0.12666218676160046,0.45252525252525255,286,0.0091215137625653697,0.41958963307800701,0.091215137625653697
KMeans,MDS__k_minus_1,MDS,k_minus_1,0.54019125767249065,0.58995289421894159,45,45,16,0,29,-0.049761636546450994,-0.0080846188336187175,-0.32560386473429953,349,0.057406772263391304,1,0.28703386131695652
KMeans,MDS__25_percent,MDS,25_percent,0.54071653320882862,0.58995289421894159,45,36,11,9,25,-0.049236361010112806,-1.4392634087333645e-05,-0.52252252252252251,258,0.0072015966712546545,0.35287823689147807,0.08771755385080067
KMeans,MDS__50_percent,MDS,50_percent,0.56825679090152847,0.58995289421894159,45,35,11,10,24,-0.02169610331741308,-2.3071548222342031e-05,-0.53968253968253965,255,0.0076079676062821462,0.36518244510154302,0.08771755385080067
AHC,PCA__k_minus_1,PCA,k_minus_1,0.55106171006835425,0.43783020366059416,45,43,26,2,17,0.11323150640776017,0.0018299827140406677,0.31923890063424948,356,0.070894584559029084,1,0.51006459398149673
AHC,PCA__25_percent,PCA,25_percent,0.37658475258987334,0.43783020366059416,45,38,15,7,23,-0.061245451070720887,-0.00074878872412276198,-0.4358974358974359,314,0.03205081797015865,1,0.28845736173142783
AHC,PCA__50_percent,PCA,50_percent,0.40784049142222195,0.43783020366059416,45,38,17,7,21,-0.029989712238372292,0,-0.23346828609986506,403,0.25556472651477558,1,1
AHC,KernelPCA__k_minus_1,KernelPCA,k_minus_1,0.70333344289283584,0.43783020366059416,45,45,32,0,13,0.26550323923224162,0.063388517586567605,0.55362318840579705,231,0.00090135454638584633,0.050475854597607395,0.011717609103016002
AHC,KernelPCA__25_percent,KernelPCA,25_percent,0.61440814188646287,0.43783020366059416,45,45,27,0,18,0.1765779382258689,0.048334047265270241,0.31787439613526569,353,0.063758074247687091,1,0.51006459398149673
AHC,KernelPCA__50_percent,KernelPCA,50_percent,0.64232438725231,0.43783020366059416,45,45,30,0,15,0.20449418359171581,0.039476180009982653,0.43768115942028984,291,0.0097894827226241432,0.44052672251808644,0.097894827226241432
AHC,VAE__k_minus_1,VAE,k_minus_1,0.50194758108290372,0.43783020366059416,45,45,25,0,20,0.064117377422309635,0.015539527244161966,0.10338164251207729,464,0.55319289143528749,1,1
AHC,VAE__25_percent,VAE,25_percent,0.45082572354833939,0.43783020366059416,45,44,23,1,21,0.0129955198877453,9.0939519894250864e-05,-0.012121212121212121,512,0.95499236195803971,1,1
AHC,VAE__50_percent,VAE,50_percent,0.45299369198057426,0.43783020366059416,45,45,23,0,22,0.01516348831998012,0.0059760100140425765,0.043478260869565216,495,0.80575348261777435,1,1
AHC,Isomap__k_minus_1,Isomap,k_minus_1,0.70515061549376812,0.43783020366059416,45,45,29,0,16,0.26732041183317384,0.11230441419286552,0.63864734299516912,187,0.00010085229104106475,0.00595028517142282,0.0015127843656159712
AHC,Isomap__25_percent,Isomap,25_percent,0.64683536232466077,0.43783020366059416,45,45,28,0,17,0.2090051586640666,0.053783255706201683,0.46666666666666667,276,0.0057111382524226428,0.29126805087355478,0.062822520776649071
AHC,Isomap__50_percent,Isomap,50_percent,0.65940765201876927,0.43783020366059416,45,45,28,0,17,0.221577448358175,0.065473475558319061,0.55942028985507242,228,0.0007864474499683638,0.044827504648196737,0.011010264299557093
AHC,MDS__k_minus_1,MDS,k_minus_1,0.55143740852058054,0.43783020366059416,45,43,28,2,15,0.11360720485998645,0.0066395545132123812,0.507399577167019,263,0.0042904485044462102,0.22739377073564915,0.051485382053354525
AHC,MDS__25_percent,MDS,25_percent,0.3991397824358206,0.43783020366059416,45,39,16,6,23,-0.038690421224773508,-1.1697012995815978e-05,-0.25641025641025639,386,0.17138173926615197,1,1
AHC,MDS__50_percent,MDS,50_percent,0.41672291704138686,0.43783020366059416,45,36,18,9,18,-0.021107286619207258,0,-0.072072072072072071,471,0.78551492761883501,1,1
GMM,PCA__k_minus_1,PCA,k_minus_1,0.66494460673876221,0.70703739816712874,45,42,20,3,22,-0.042092791428366402,0,-0.11184939091915837,461,0.54583120595381762,1,1
GMM,PCA__25_percent,PCA,25_percent,0.65530710190076213,0.70703739816712874,45,42,19,3,23,-0.051730296266366542,-0.00031875261607329378,-0.16722037652270211,433,0.35749926684444444,1,1
GMM,PCA__50_percent,PCA,50_percent,0.72032543660035908,0.70703739816712874,45,39,18,6,21,0.013288038433230441,0,-0.048717948717948718,479,0.75161506354451557,1,1
GMM,KernelPCA__k_minus_1,KernelPCA,k_minus_1,0.76835733847391829,0.70703739816712874,45,45,23,0,22,0.061319940306789673,0.0066903703168913475,0.20772946859903382,410,0.22956267960461219,1,1
GMM,KernelPCA__25_percent,KernelPCA,25_percent,0.72735910113755464,0.70703739816712874,45,43,20,2,23,0.020321702970426035,-4.0928545506968561e-05,0.052854122621564484,494,0.80386677736850598,1,1
GMM,KernelPCA__50_percent,KernelPCA,50_percent,0.7524270660501049,0.70703739816712874,45,44,19,1,25,0.045389667882976222,-0.0017919063186287998,0.0040404040404040404,516,0.99099388459366999,1,1
GMM,VAE__k_minus_1,VAE,k_minus_1,0.56685112282991001,0.70703739816712874,45,45,13,0,32,-0.1401862753372187,-0.091442231505826532,-0.56135265700483095,227,0.00075120099035075327,0.04356965744034369,0.011268014855261299
GMM,VAE__25_percent,VAE,25_percent,0.6002803196275901,0.70703739816712874,45,44,15,1,29,-0.10675707853953852,-0.035599252577646068,-0.38181818181818183,321,0.026939358833349612,1,0.37715102366689457
GMM,VAE__50_percent,VAE,50_percent,0.64659245378004948,0.70703739816712874,45,45,17,0,28,-0.060444944387079293,-0.018946898249747712,-0.25217391304347825,387,0.14342769278198375,1,1
GMM,Isomap__k_minus_1,Isomap,k_minus_1,0.69011857888581096,0.70703739816712874,45,43,22,2,21,-0.016918819281317655,0,0.069767441860465115,482,0.7011212612885438,1,1
GMM,Isomap__25_percent,Isomap,25_percent,0.71412546402206623,0.70703739816712874,45,42,22,3,20,0.0070880658549376217,0,0.049833887043189369,489,0.77342576238688665,1,1
GMM,Isomap__50_percent,Isomap,50_percent,0.74738069167046772,0.70703739816712874,45,42,22,3,20,0.040343293503339026,0,0.14285714285714285,447,0.44601245261310241,1,1
GMM,MDS__k_minus_1,MDS,k_minus_1,0.61822047309843287,0.70703739816712874,45,45,14,0,31,-0.088816925068695651,-0.0067451326993526184,-0.35072463768115941,336,0.040228857855368005,1,0.52297515211978407
GMM,MDS__25_percent,MDS,25_percent,0.64576812693315389,0.70703739816712874,45,43,17,2,26,-0.06126927123397486,-0.001784941615718294,-0.21141649048625794,407,0.21853196371551165,1,1
GMM,MDS__50_percent,MDS,50_percent,0.69722911736051951,0.70703739816712874,45,42,13,3,29,-0.0098082808066093062,-0.0080007836702706836,-0.26688815060908083,370,0.10280278016947812,1,1
OPTICS,PCA__k_minus_1,PCA,k_minus_1,0.25000745850938028,0.28587800148369247,45,32,17,13,15,-0.035870542974312178,0,-0.034090909090909088,468,0.96350879305451465,1,1
OPTICS,PCA__25_percent,PCA,25_percent,0.26041678733766965,0.28587800148369247,45,22,12,23,10,-0.025461214146022825,0,-0.067193675889328064,365,0.86009220964850319,1,1
OPTICS,PCA__50_percent,PCA,50_percent,0.27346907219540018,0.28587800148369247,45,20,9,25,11,-0.012408929288292332,0,-0.29523809523809524,299,0.48621746941818689,1,1
OPTICS,KernelPCA__k_minus_1,KernelPCA,k_minus_1,0.39334666099367738,0.28587800148369247,45,33,23,12,10,0.10746865950998487,0.01187935618904834,0.39037433155080214,291,0.032462307492611225,1,0.35708538241872345
OPTICS,KernelPCA__25_percent,KernelPCA,25_percent,0.34133502285251915,0.28587800148369247,45,33,23,12,10,0.055457021368826652,0.015531490244241275,0.32263814616755793,310,0.054611733740693467,1,0.54611733740693469
OPTICS,KernelPCA__50_percent,KernelPCA,50_percent,0.33087856328295612,0.28587800148369247,45,33,23,12,10,0.045000561799263629,0.010955790934018318,0.28698752228163993,320,0.070623615336188966,1,0.59204679716563891
OPTICS,VAE__k_minus_1,VAE,k_minus_1,0.35764554808720167,0.28587800148369247,45,37,23,8,14,0.071767546603509147,0.0037973186608019904,0.29160739687055476,361,0.11678083200737055,1,0.81746582405159385
OPTICS,VAE__25_percent,VAE,25_percent,0.37150823859344917,0.28587800148369247,45,36,27,9,9,0.085630237109756702,0.019404171559431464,0.45345345345345345,263,0.0085214303476898335,0.40050722634142216,0.11077859451996784
OPTICS,VAE__50_percent,VAE,50_percent,0.36810417673800766,0.28587800148369247,45,33,24,12,9,0.082226175254315109,0.019024082639332092,0.42959001782531192,268,0.016349672737297458,0.70303592770379075,0.19619607284756951
OPTICS,Isomap__k_minus_1,Isomap,k_minus_1,0.47588065226225801,0.28587800148369247,45,39,36,6,3,0.19000265077856568,0.052969615588440114,0.93076923076923079,45,1.7659690163143047e-07,1.0595814097885827e-05,2.6489535244714568e-06
OPTICS,Isomap__25_percent,Isomap,25_percent,0.39932152971539497,0.28587800148369247,45,36,26,9,10,0.11344352823170245,0.01522231569644098,0.53153153153153154,246,0.0047510572028661652,0.2470549745490406,0.066514800840126315
OPTICS,Isomap__50_percent,Isomap,50_percent,0.36221375552081631,0.28587800148369247,45,35,23,10,12,0.076335754037123713,0.0027514731512515,0.3396825396825397,328,0.065782977462848766,1,0.59204679716563891
OPTICS,MDS__k_minus_1,MDS,k_minus_1,0.31492316801017661,0.28587800148369247,45,32,19,13,13,0.029045166526484083,0,0.090909090909090912,409,0.4711699984900557,1,1
