display_name,None__original,PCA__k_minus_1,PCA__25_percent,PCA__50_percent,KernelPCA__k_minus_1,KernelPCA__25_percent,KernelPCA__50_percent,VAE__k_minus_1,VAE__25_percent,VAE__50_percent,Isomap__k_minus_1,Isomap__25_percent,Isomap__50_percent,MDS__k_minus_1,MDS__25_percent,MDS__50_percent
Breast tissue,0.27603344175525379,0.29738994668005519,0.27258878724365065,0.29738994668005519,0.30824108549318657,0.34450841424150525,0.30824108549318657,0.29553104228173188,0.31898030190759402,0.29553104228173188,0.28386638319372887,0.32249498565916612,0.28386638319372887,0.30618119143197386,0.32464362104858258,0.30618119143197386
Breast Wisconsin,0.77401598325386711,0.60988060678534195,0.46507274204415683,0.077481836720800001,0.64911458086128504,0.66634950158481698,0.7072097111234521,0.53744134438272051,0.58595200198234365,0.6411963502141671,0.684024380369184,0.45193912725527097,0.52048402619716805,0.582192975619088,0.3766562720111456,0.077481836720800001
Ecoli,0.63340961623987868,0.64742701090470711,0.47550806554264746,0.66220786782522933,0.39583830944077969,0.45490732622534136,0.40372949726396978,0.49888259112749866,0.53323156020028617,0.5411996031536962,0.47678796035623128,0.65589895471772475,0.58464246485064941,0.57873546662143427,0.65095572066407037,0.73222888060268088
Glass,0.15334855411623444,0.19085022603446278,0.2043820455423894,0.19085022603446278,0.16411623492159039,0.15300403798333101,0.16411623492159039,0.19439227954331276,0.19444180594838859,0.19439227954331276,0.17232696940125389,0.16061497774161276,0.17232696940125389,0.1902195950945908,0.18601687051032206,0.1902195950945908
Haberman,0.103997871309921,0.134500777284495,-0.0025344170312820002,0.134500777284495,-0.0068673646401030009,0.0020269036296250002,-0.0068673646401030009,0.099448981112341545,0.062558104009386453,0.099448981112341545,0.031850287967675701,-0.02265142602489293,0.031850287967675701,0.074256211373057712,-0.0024394072006393001,0.074256211373057712
Ionosphere,0.39420449702955401,0.022392653514304001,0.30676650305519287,0.30048229820352601,0.197197784294558,0.0053191489361700001,0.192883435582822,-0.0026374872579554899,0.22128174673077802,0.19166575267671856,0.082087455599927001,0.18784588493957491,0.33617235057782263,0.050846510020381,0.31317831010322,0.27573010068626902
Iris,0.90387423177481208,0.57726701360146071,0.75653198269357003,0.57726701360146071,0.63023673469387698,0.50502629273161304,0.63023673469387698,0.64029837340546436,0.68865868124450347,0.64029837340546436,0.53322869438303788,0.64729517091902666,0.53322869438303788,0.64393418008551251,0.66946011534537841,0.64393418008551251
Movement libras,0.34899262488486393,0.38143735357612596,0.35977269081115787,0.32876923060091739,0.34448878847037823,0.33315646052253145,0.31916330786651265,0.31696575795529258,0.30758730114628619,0.31743704574813147,0.29836397622653066,0.30487278894935932,0.31240248897368911,0.41182397094244516,0.35653509439592723,0.327577185723816
Musk,0.0050135953476020002,0.0064672691662049,-0.0035545498635577398,0.0866694635274919,0.0035820741294939002,-0.001413885681347,-0.00046954351822400006,0.0041655112006253985,0.0023746066702535198,0.00446420960423001,0.0056904131246118999,0.0076271897021958999,0.0067211521745379008,-0.001153191576747,-0.0035055670412362004,0.0866694635274919
Parkinsons,-0.085861942310024003,-0.097126051932224899,-0.053069105604934899,-0.0367361192316309,0.16891508940251601,0.12909317262106701,0.15632706905877083,0.050795128518336882,0.067419968147161308,0.081564145050905743,0.22884144451840588,0.23033039436055694,0.065487106360342898,-0.051453699036006009,-0.060888004769918,-0.026987480981713004
Segmentation,0.4121174752568722,0.41832938247006102,0.41517955181399396,0.38767056056285887,0.45776185793258017,0.45673994585173039,0.46007682794054527,0.47694156228802215,0.45872394487214835,0.48743953123153966,0.36305641201337757,0.3274791578747846,0.39012301517060227,0.41859539779142196,0.43196173670581939,0.3905567471364359
